{'loss': 3.4232, 'grad_norm': 0.31370607018470764, 'learning_rate': 1.8e-05, 'epoch': 0.04555808656036447, 'step': 10}
{'loss': 7.8074, 'grad_norm': 0.4797094464302063, 'learning_rate': 0.0001678632091509162, 'epoch': 4.637813211845103, 'step': 1020}
{'loss': 7.9668, 'grad_norm': 0.27502474188804626, 'learning_rate': 0.00016718566777683655, 'epoch': 4.683371298405467, 'step': 1030}
{'loss': 8.0073, 'grad_norm': 0.3536873459815979, 'learning_rate': 0.0001665024572113848, 'epoch': 4.728929384965832, 'step': 1040}
{'loss': 7.9671, 'grad_norm': 0.2863177955150604, 'learning_rate': 0.00016581363510452684, 'epoch': 4.774487471526196, 'step': 1050}
{'loss': 7.8422, 'grad_norm': 0.3190458416938782, 'learning_rate': 0.00016511925957973542, 'epoch': 4.82004555808656, 'step': 1060}
{'loss': 7.8799, 'grad_norm': 0.4455823004245758, 'learning_rate': 0.00016441938922908645, 'epoch': 4.865603644646924, 'step': 1070}
{'loss': 7.8961, 'grad_norm': 0.2620396614074707, 'learning_rate': 0.0001637140831083142, 'epoch': 4.911161731207289, 'step': 1080}
{'loss': 8.0285, 'grad_norm': 0.18905305862426758, 'learning_rate': 0.00016300340073182877, 'epoch': 4.956719817767654, 'step': 1090}
{'loss': 7.9242, 'grad_norm': 0.634199857711792, 'learning_rate': 0.00016228740206769362, 'epoch': 5.0, 'step': 1100}
{'eval_loss': 7.8740973472595215, 'eval_runtime': 36.9196, 'eval_samples_per_second': 23.781, 'eval_steps_per_second': 11.891, 'epoch': 5.0, 'step': 1100}
{'loss': 7.9757, 'grad_norm': 0.3681473731994629, 'learning_rate': 0.0001615661475325658, 'epoch': 5.045558086560365, 'step': 1110}
{'loss': 8.0897, 'grad_norm': 0.9947788715362549, 'learning_rate': 0.00016083969798659796, 'epoch': 5.091116173120729, 'step': 1120}
{'loss': 8.1652, 'grad_norm': 0.3542709946632385, 'learning_rate': 0.00016010811472830252, 'epoch': 5.136674259681094, 'step': 1130}
{'loss': 8.0509, 'grad_norm': 1.3970012664794922, 'learning_rate': 0.00015937145948937963, 'epoch': 5.182232346241458, 'step': 1140}
{'loss': 7.9896, 'grad_norm': 0.6728397011756897, 'learning_rate': 0.000158629794429508, 'epoch': 5.2277904328018225, 'step': 1150}
{'loss': 7.9234, 'grad_norm': 1.1911953687667847, 'learning_rate': 0.00015788318213109993, 'epoch': 5.2733485193621865, 'step': 1160}
{'loss': 7.9195, 'grad_norm': 0.29715263843536377, 'learning_rate': 0.0001571316855940204, 'epoch': 5.318906605922551, 'step': 1170}
{'loss': 8.0264, 'grad_norm': 0.41905421018600464, 'learning_rate': 0.0001563753682302712, 'epoch': 5.364464692482915, 'step': 1180}
{'loss': 8.0691, 'grad_norm': 0.22589008510112762, 'learning_rate': 0.00015561429385864005, 'epoch': 5.41002277904328, 'step': 1190}
{'loss': 8.0359, 'grad_norm': 0.689599335193634, 'learning_rate': 0.00015484852669931575, 'epoch': 5.455580865603645, 'step': 1200}
{'loss': 8.0709, 'grad_norm': 0.22720466554164886, 'learning_rate': 0.00015407813136846877, 'epoch': 5.501138952164009, 'step': 1210}
{'loss': 8.0948, 'grad_norm': 0.13426300883293152, 'learning_rate': 0.0001533031728727994, 'epoch': 5.546697038724374, 'step': 1220}
{'loss': 8.1393, 'grad_norm': 0.17504055798053741, 'learning_rate': 0.00015252371660405203, 'epoch': 5.592255125284738, 'step': 1230}
{'loss': 8.0921, 'grad_norm': 0.26194512844085693, 'learning_rate': 0.0001517398283334976, 'epoch': 5.637813211845103, 'step': 1240}
{'loss': 8.0309, 'grad_norm': 0.6997864842414856, 'learning_rate': 0.00015095157420638348, 'epoch': 5.683371298405467, 'step': 1250}
{'loss': 8.0405, 'grad_norm': 0.14174123108386993, 'learning_rate': 0.00015015902073635236, 'epoch': 5.728929384965832, 'step': 1260}
{'loss': 8.0049, 'grad_norm': 0.2937249541282654, 'learning_rate': 0.00014936223479982953, 'epoch': 5.774487471526196, 'step': 1270}
{'loss': 8.0519, 'grad_norm': 0.3361016511917114, 'learning_rate': 0.00014856128363037994, 'epoch': 5.82004555808656, 'step': 1280}
{'loss': 8.0428, 'grad_norm': 0.47362449765205383, 'learning_rate': 0.00014775623481303487, 'epoch': 5.865603644646924, 'step': 1290}
{'loss': 8.0307, 'grad_norm': 0.09712481498718262, 'learning_rate': 0.00014694715627858908, 'epoch': 5.911161731207289, 'step': 1300}
{'loss': 8.0804, 'grad_norm': 0.15451018512248993, 'learning_rate': 0.0001461341162978688, 'epoch': 5.956719817767654, 'step': 1310}
{'loss': 8.0565, 'grad_norm': 0.8937873244285583, 'learning_rate': 0.0001453171834759708, 'epoch': 6.0, 'step': 1320}
{'eval_loss': 8.038609504699707, 'eval_runtime': 38.4398, 'eval_samples_per_second': 22.841, 'eval_steps_per_second': 11.42, 'epoch': 6.0, 'step': 1320}
{'loss': 8.0815, 'grad_norm': 0.2119760513305664, 'learning_rate': 0.00014449642674647367, 'epoch': 6.045558086560365, 'step': 1330}
{'loss': 7.9935, 'grad_norm': 0.17763090133666992, 'learning_rate': 0.00014367191536562087, 'epoch': 6.091116173120729, 'step': 1340}
{'loss': 7.85, 'grad_norm': 0.43257007002830505, 'learning_rate': 0.00014284371890647713, 'epoch': 6.136674259681094, 'step': 1350}
{'loss': 7.8911, 'grad_norm': 0.7069438099861145, 'learning_rate': 0.00014201190725305745, 'epoch': 6.182232346241458, 'step': 1360}
{'loss': 7.9835, 'grad_norm': 0.20726163685321808, 'learning_rate': 0.0001411765505944305, 'epoch': 6.2277904328018225, 'step': 1370}
{'loss': 7.9987, 'grad_norm': 0.272582471370697, 'learning_rate': 0.00014033771941879595, 'epoch': 6.2733485193621865, 'step': 1380}
{'loss': 7.9771, 'grad_norm': 0.6123136878013611, 'learning_rate': 0.00013949548450753645, 'epoch': 6.318906605922551, 'step': 1390}
{'loss': 8.0248, 'grad_norm': 0.13946981728076935, 'learning_rate': 0.00013864991692924523, 'epoch': 6.364464692482915, 'step': 1400}
{'loss': 7.9682, 'grad_norm': 0.43021833896636963, 'learning_rate': 0.00013780108803372916, 'epoch': 6.41002277904328, 'step': 1410}
{'loss': 8.0916, 'grad_norm': 0.13521213829517365, 'learning_rate': 0.00013694906944598816, 'epoch': 6.455580865603645, 'step': 1420}
{'loss': 8.1099, 'grad_norm': 0.08986020088195801, 'learning_rate': 0.0001360939330601715, 'epoch': 6.501138952164009, 'step': 1430}
{'loss': 8.0335, 'grad_norm': 0.31162503361701965, 'learning_rate': 0.0001352357510335112, 'epoch': 6.546697038724374, 'step': 1440}
{'loss': 7.9856, 'grad_norm': 0.3072284460067749, 'learning_rate': 0.00013437459578023343, 'epoch': 6.592255125284738, 'step': 1450}
{'loss': 7.921, 'grad_norm': 0.1223151832818985, 'learning_rate': 0.0001335105399654481, 'epoch': 6.637813211845103, 'step': 1460}
{'loss': 8.0281, 'grad_norm': 0.10063417255878448, 'learning_rate': 0.00013264365649901723, 'epoch': 6.683371298405467, 'step': 1470}
{'loss': 7.917, 'grad_norm': 0.10429799556732178, 'learning_rate': 0.0001317740185294029, 'epoch': 6.728929384965832, 'step': 1480}
{'loss': 7.8907, 'grad_norm': 0.5100088715553284, 'learning_rate': 0.00013090169943749476, 'epoch': 6.774487471526196, 'step': 1490}
{'loss': 7.9151, 'grad_norm': 1.3659489154815674, 'learning_rate': 0.00013002677283041814, 'epoch': 6.82004555808656, 'step': 1500}
{'loss': 7.8961, 'grad_norm': 0.1581929624080658, 'learning_rate': 0.00012914931253532304, 'epoch': 6.865603644646924, 'step': 1510}
{'loss': 7.856, 'grad_norm': 0.1331518590450287, 'learning_rate': 0.00012826939259315447, 'epoch': 6.911161731207289, 'step': 1520}
{'loss': 7.8053, 'grad_norm': 0.1633654534816742, 'learning_rate': 0.00012738708725240484, 'epoch': 6.956719817767654, 'step': 1530}
{'loss': 7.7933, 'grad_norm': 4.265617847442627, 'learning_rate': 0.00012650247096284884, 'epoch': 7.0, 'step': 1540}
{'eval_loss': 7.703070640563965, 'eval_runtime': 36.7314, 'eval_samples_per_second': 23.903, 'eval_steps_per_second': 11.952, 'epoch': 7.0, 'step': 1540}
{'train_runtime': 3019.8936, 'train_samples_per_second': 18.602, 'train_steps_per_second': 1.166, 'total_flos': 2.441073924538368e+16, 'train_loss': 4.768151334044221, 'epoch': 7.0, 'step': 1540}
